02,09/17/2045,$2999.79
52,04/10/1915,$6596.19
62,09/14/1940,$5852.15
15,12/05/1966,$6130.19
66,05/01/1907,$4003.58
14,04/27/1999,$8335.03
64,06/28/1935,$4533.51
50,12/30/2045,$4698.67
91,02/16/2030,$5683.91
58,05/17/2059,$4894.14
03,07/03/1959,$391.24
05,09/10/1949,$4269.75
37,01/13/1995,$544.21
03,10/31/2050,$5130.57
14,11/24/1979,$2518.00
27,02/03/2021,$6826.46
04,09/08/1927,$1759.52
37,05/09/2060,$3574.85
42,10/25/1937,$6492.98
91,12/03/2015,$5207.61
82,12/08/1909,$3095.50
72,10/14/1949,$252.32
06,06/27/2053,$5203.91
87,11/03/2054,$3460.37
88,03/09/1900,$8223.06
15,03/03/2015,$4916.95
68,05/24/2026,$6672.10
46,10/02/1902,$2580.61
49,03/09/1939,$5359.49
66,10/15/1956,$7030.19
36,06/25/2067,$5975.96
86,03/02/2048,$8924.60
33,07/30/2006,$3249.88
33,11/17/1992,$5519.55
45,11/06/1910,$7453.11
52,04/26/1929,$9414.43
44,04/05/1902,$7980.40
81,09/21/2035,$9047.54
10,04/29/2002,$6577.40
20,11/13/2062,$6158.80
36,12/07/1910,$3849.43
58,09/10/2054,$51.54
40,12/26/1921,$7687.24
60,10/16/2058,$3280.79
02,02/12/1912,$22.87
94,10/30/2027,$9605.54
26,08/24/1945,$9121.25
89,10/24/2033,$8179.43
92,11/10/1957,$489.80
97,10/24/1908,$487.07
33,03/17/2003,$1235.25
28,05/09/1940,$1346.92
03,07/07/2033,$9687.28
90,09/12/1907,$5160.12
02,09/14/2011,$5754.64
00,11/06/1935,$5042.37
03,10/09/1919,$3692.23
34,12/09/1927,$9888.54
43,01/30/2001,$858.47
34,06/07/2044,$3725.43
54,10/28/1927,$9674.22
74,04/18/1952,$2700.98
27,09/25/1917,$5031.29
92,06/01/2052,$280.72
29,10/10/1914,$1554.34
69,10/14/2034,$7392.38
34,12/15/1925,$7789.43
46,09/08/2005,$6649.06
84,06/27/1907,$5054.80
43,10/01/1956,$5608.61
98,04/29/1960,$9757.07
78,06/17/1934,$4320.36
80,03/01/1918,$9693.41
83,03/27/1931,$4086.29
95,05/15/1945,$8863.26
79,05/10/2000,$7794.33
99,05/19/1943,$4909.04
34,03/22/1936,$7361.58
83,06/25/2012,$9515.09
81,10/13/1929,$4528.30
76,02/07/1945,$4821.25
76,12/05/1991,$694.47
84,11/17/1901,$1123.85
28,05/27/1996,$7026.83
74,08/25/1934,$8691.81
95,08/29/1919,$6456.22
88,04/06/2070,$406.04
21,11/07/2056,$3083.01
25,02/13/1982,$2792.88
82,12/29/1900,$1808.08
59,03/05/2041,$7178.22
46,06/18/2063,$3542.00
95,03/10/1983,$286.23
40,08/25/1949,$9356.69
45,09/10/1901,$6931.66
23,02/01/2018,$8964.56
46,11/09/1911,$2148.33
54,08/12/1934,$6655.91
24,07/12/1901,$9525.17
32,10/09/2040,$9499.47
75,06/08/2058,$2089.38
93,03/30/2000,$1901.57
31,02/03/2067,$5577.13
85,09/20/2017,$9768.10
06,05/12/2048,$6875.50
10,09/06/1923,$8769.83
81,03/12/2054,$9450.94
87,05/09/2055,$8541.15
29,08/04/1998,$7164.59
33,04/13/1965,$9217.95
04,09/18/1942,$4.20
65,07/02/1919,$1960.79
57,12/10/1929,$6961.40
46,03/20/1992,$2278.08
16,03/19/2052,$1912.69
88,10/24/2039,$5918.32
60,07/26/1964,$6346.26
36,02/05/1941,$6146.22
13,08/28/1995,$9443.07
97,01/12/1980,$9835.15
72,06/01/1981,$7432.57
40,08/12/2003,$4394.00
17,12/28/1963,$7520.78
70,08/23/2030,$4237.07
48,10/31/2042,$2794.51
19,02/24/1965,$2166.20
07,01/02/1923,$6093.58
93,02/13/1951,$7220.09
14,10/09/2018,$7837.33
14,09/02/2032,$3370.56
05,01/18/2061,$752.99
19,07/10/1965,$8606.06
43,06/23/1948,$5716.23
60,12/17/2043,$2305.75
62,04/28/1979,$1525.67
34,01/18/1998,$7649.42
02,08/30/1909,$9742.10
44,11/12/1970,$6198.48
58,06/01/2047,$6833.16
91,01/31/1901,$2859.69
13,07/24/1961,$2713.37
07,04/11/1929,$8277.73
89,10/30/1944,$4240.43
24,09/22/1981,$4439.60
81,11/14/1913,$2285.79
26,05/19/1958,$6041.14
46,10/04/2066,$1900.17
12,07/18/2037,$1796.94
31,04/29/1984,$4589.97
72,03/13/2064,$10.34
00,07/15/1916,$2975.46
44,04/25/2033,$9211.00
81,01/10/2051,$8938.66
88,04/16/2035,$8900.30
72,07/08/2061,$91.13
54,03/23/2051,$1256.24
03,10/09/1965,$5140.98
15,02/12/1933,$9516.21
63,11/16/2012,$2979.42
48,06/21/1916,$5771.75
27,03/05/2052,$8235.56
25,01/01/1924,$5192.93
42,04/12/1907,$1583.17
86,12/01/1906,$9120.42
82,01/01/1937,$280.21
56,06/22/2011,$7685.04
91,04/25/1949,$7812.41
92,02/02/1995,$1314.89
84,07/04/1927,$9240.45
67,02/11/1980,$9751.48
84,09/28/1921,$5989.76
67,03/02/1946,$819.17
52,02/23/1938,$3845.67
87,04/29/2057,$5701.77
68,11/10/1941,$5181.46
17,01/24/2003,$964.89
10,11/24/1946,$4999.59
81,09/07/2034,$2574.14
02,09/21/2032,$6255.41
45,11/28/2054,$2494.45
07,03/23/1980,$7194.56
54,02/22/2056,$9527.86
20,04/01/1960,$5843.43
01,12/01/1956,$6146.47
40,11/25/2012,$6342.80
38,03/24/1978,$845.36
88,02/10/2027,$1864.58
81,01/22/2058,$8650.06
18,01/18/1990,$9958.12
88,06/12/1931,$6505.37
68,03/11/1946,$3773.58
64,02/02/1942,$4238.33
91,06/21/1941,$2784.30
40,06/02/1942,$5221.86
96,06/28/1950,$1331.50
23,10/29/1963,$2804.74
06,02/17/2061,$1056.75
60,10/21/1965,$6424.29
73,06/10/1929,$6718.85
77,04/02/2062,$5192.73
02,04/16/1969,$6581.29
07,04/14/2005,$6743.02
19,05/22/2047,$4246.39
66,10/21/2053,$5456.81
75,02/06/2004,$2255.13
52,06/12/1937,$7971.38
35,01/29/2053,$2297.70
37,02/26/2049,$3793.09
20,05/29/1939,$4401.94
79,12/12/1978,$4582.90
23,05/15/1943,$8919.38
67,08/11/2002,$4787.07
41,11/06/2044,$5389.55
29,09/23/1919,$9705.50
73,07/14/1931,$7133.62
71,11/18/1972,$938.54
34,10/10/2014,$3997.66
43,02/28/1975,$427.55
36,06/13/1908,$6337.71
57,02/09/2043,$6850.08
79,08/13/1967,$6079.76
92,10/21/2054,$5192.53
06,08/28/1912,$1690.30
98,04/17/1928,$1242.14
19,08/24/1942,$3596.24
70,01/13/1997,$1633.44
02,03/29/1934,$6363.56
